dayname,color,theme,introit,gradual
"Michaelmas 7","Green","Signs of the End Times","Have mercy on me, O LORD, for I am in trouble; Deliver me from the hand of my enemies, And from those who persecute me. Do not let me be ashamed, O LORD, for I have called upon You; In You, O LORD, I put my trust; Let me never be ashamed. Glory...","<span class=""liturgist"">They set up their banners for signs.</span><br><span class=""congregation"">Remember Your congregation, which You purchased of old,</span><br><span class=""liturgist"">The tribe of Your inheritance, which You have redeemed.</span><br><span class=""congregation"">There is a river whose streams shall make glad the city of God,</span><br><span class=""liturgist"">God is in the midst of her, she shall not be moved.</span><br><span class=""congregation"">Behold, I am coming quickly.</span><br><span class=""liturgist"">Amen. Even so, come, Lord Jesus!</span>"
"Circumcision and Name of Jesus","White","Jesus Fulfills the Law","O Lord, our Lord, how excellent is Your Name in all the earth, You who set Your Glory above the heavens! What is man that You are mindful of him, the Son of Man that You visit Him? You, O Lord, are our Father; Our Redeemer from Everlasting is Your name. Glory...",""
"Pentecost","Red","Holy Spirit","The Spirit of the Lord fills the whole world. Alleluia! Let the righteous be glad, let them rejoice before God. Let God arise, let His enemies be scattered; Let those also who hate Him flee before Him. Glory...","<span class=""liturgist"">You take away their breath, they die.</span><br><span class=""congregation"">You send forth Your Spirit, they are created;</span><br><span class=""liturgist"">And You renew the face of the earth.</span><br><span class=""congregation"">May the glory of the Lord endure forever;</span><br><span class=""liturgist"">May the Lord rejoice in His works.</span><br><span class=""congregation"">Come, Holy Spirit, and fill the hearts of Your faithful people,</span><br><span class=""liturgist"">And kindle in them the fire of Your love.</span>"
"Pentecost 9","Green","","",""
"St. Bartholemew, Apostle","White","","I know whom I have believed and am persuaded that He is able to keep what I have committed to Him until that Day. There is laid up for me the crown of righteousness, which the Lord, the righteous Judge, will give to me. O LORD, You have searched me and known me. You know my sitting down and my rising up; You understand my thought afar off. Glory...",""
"Christmas Vigil","White","Nativity of our Lord","When all was still and it was midnight, Your almighty Word, O Lord, descended from the royal throne.  The Lord reigns, He is clothed with majesty.  The Lord said to Me, ""You are My Son, today I have begotten You.""  Glory...",""
"Easter Vigil","White","Jesus' Resurrection","",""
"Palm Sunday","Purple","Jesus, our King, Enters Jerusalem","Vindicate me, O God, and plead my cause against an ungodly nation. Deliver me from the deceitful and unjust man. Send out Your light and Your truth; Let them lead me, let them bring me to Your holy hill.","<span class=""liturgist"">You will guide me with Your counsel and afterward receive me to glory</span><br><span class=""congregation"">Truly God is good to Israel,</span><br><span class=""liturgist"">To such as are pure in heart.</span><br><span class=""congregation"">But as for me, my feet had almost stumbled;</span><br><span class=""liturgist"">My steps had nearly slipped when I saw the prosperity of the wicked.</span><br><span class=""congregation"">Christ has humbled Himself and become obedient unto death,</span><br><span class=""liturgist"">Even the death of the Cross.</span>"
"Wednesday of Holy Week","Purple","","",""
"Michaelmas","White","Angels","Bless the Lord, you His angels, who excel in strength and do His word. Bless the Lord, all you His hosts, who heed the voice of His Word. Bless the Lord, O my soul; And all that is within me, bless His holy Name! Glory...","<span class=""liturgist"">To keep you in all your ways.</span><br><span class=""congregation"">Bless the Lord, O my soul;</span><br><span class=""liturgist"">And all that is within me, bless His holy Name!</span><br><span class=""congregation"">And one cried to another and said:</span><br><span class=""liturgist"">“Holy, holy, holy is the Lord of hosts; the whole earth is full of His glory!”</span><br><span class=""congregation"">Put on the whole armor of God,</span><br><span class=""liturgist"">That you may be able to stand against the wiles of the devil.</span>"
