dayname,type,number
Epiphany 2,ilcwb,22
Epiphany 2,ilcwb,23
Epiphany 2,ilcwc,22
Epiphany 2,ilcwc,23
Epiphany 2,ilcwa,22
Epiphany 2,ilcwa,23
Epiphany 3,ilcwb,24
Epiphany 3,ilcwb,25
Epiphany 3,ilcwc,24
Epiphany 3,ilcwc,25
Epiphany 3,ilcwa,24
Epiphany 3,ilcwa,25
Epiphany 4,ilcwb,26
Epiphany 4,ilcwb,27
Epiphany 4,ilcwc,26
Epiphany 4,ilcwc,27
Epiphany 4,ilcwa,26
Epiphany 4,ilcwa,27
Epiphany 5,ilcwb,28
Epiphany 5,ilcwc,91
Epiphany 5,ilcwa,28
Epiphany 6,ilcwb,93
Epiphany 6,ilcwc,93
Epiphany 6,ilcwa,93
Epiphany 7,ilcwb,29
Epiphany 7,ilcwc,28
Epiphany 7,ilcwa,28
Pentecost 20,ilcwb,100
Pentecost 20,ilcwc,100
Pentecost 20,ilcwa,100
Christmas 2,ilcwb,12
Christmas 2,ilcwc,12
Christmas 2,ilcwa,12
Christmas 1,ilcwb,12
Christmas 1,ilcwb,13
Christmas 1,ilcwc,12
Christmas 1,ilcwc,21
Christmas 1,ilcwa,12
Christmas 1,ilcwa,13
Easter 2,ilcwb,64
Easter 2,ilcwb,65
Easter 2,ilcwc,64
Easter 2,ilcwc,65
Easter 2,ilcwa,64
Easter 2,ilcwa,65
Easter 3,ilcwb,68
Easter 3,ilcwb,69
Easter 3,ilcwc,68
Easter 3,ilcwc,69
Easter 3,ilcwa,68
Easter 3,ilcwa,69
Easter 6,ilcwb,72
Easter 6,ilcwb,73
Easter 6,ilcwa,72
Easter 6,ilcwa,73
Easter 7,ilcwb,76
Easter 7,ilcwb,77
Easter 7,ilcwc,76
Easter 7,ilcwc,77
Easter 7,ilcwa,76
Easter 7,ilcwa,77
Easter 4,ilcwb,66
Easter 4,ilcwb,67
Easter 4,ilcwc,66
Easter 4,ilcwc,67
Easter 4,ilcwa,66
Easter 4,ilcwa,67
Easter 5,ilcwb,70
Easter 5,ilcwb,71
Easter 5,ilcwc,70
Easter 5,ilcwc,71
Easter 5,ilcwa,70
Easter 5,ilcwa,71
Pentecost 23,ilcwb,117
Pentecost 23,ilcwc,117
Pentecost 23,ilcwc,103
Pentecost 23,ilcwa,117
Pentecost 22,ilcwb,128
Pentecost 22,ilcwc,128
Pentecost 22,ilcwa,128
Pentecost 21,ilcwb,122
Pentecost 21,ilcwc,122
Pentecost 21,ilcwc,109
Pentecost 21,ilcwa,122
Pentecost 24,ilcwb,116
Pentecost 24,ilcwb,117
Pentecost 24,ilcwa,123
Pentecost 25,ilcwb,133
Pentecost 25,ilcwb,134
Pentecost 25,ilcwc,133
Pentecost 25,ilcwc,134
Pentecost 25,ilcwa,133
Pentecost 25,ilcwa,134
Easter second,ilcwb,61
Easter second,ilcwb,62
Easter second,ilcwb,63
Easter second,ilcwc,61
Easter second,ilcwc,62
Easter second,ilcwc,63
Easter second,ilcwa,61
Easter second,ilcwa,62
Easter second,ilcwa,63
