dayname,type,lesson1,lesson2,gospel,psalm,s2lesson,s2gospel,s3lesson,s3gospel,hymnabc,hymn,note
Advent 2,ilcwc,Mal. 3:1-4,Phil. 1:3-11,Lk. 3:1-6,126,,,,,106,101,
Advent 2,historic,Micah 4:1-7,Rom. 15:4-13,Luke 21:25-36,80,Heb. 10:35-39,Luke 12:35-40,Is. 11:1-5,Luke 17:20-30,,,
Advent 2,ilcwa,Is. 11:1-10,Rom. 15:4-13,Mt. 3:1-12,72:1-14,,,,,106,91,
Advent 3,ilcwb,"Is. 61:1-3,10-11",1 Thes. 5:16-24,Jn. 1:19-28,Lk. 1:46-55,,,,,105,94,
Advent 3,ilcwc,Zeph. 3:14-18,Phil. 4:4-9,Lk. 3:7-18,Is. 12:2-6,,,,,105,104,
Advent 3,historic,Mal. 3:1-6,1 Cor. 4:1-5,Matt. 11:2-10,85,2 Pet. 1:19-21,Matt. 11:11-15,Mal. 3:1-4,Luke 3:1-6,,,
Advent 3,ilcwa,Is. 35:1-10,Jam. 5:7-10,Mt. 11:2-11,146,,,,,105,109,
Advent 1,ilcwb,Is. 63:16b-64:8,1 Co. 1:3-9,Mk. 13:33-37,98,,,,,90,97,
Advent 1,ilcwc,Jer. 33:14-16,1 Thes. 3:9-13,Lk. 21:25-36,25:1-9,,,,,90,98,
Advent 1,historic,Jer. 33:14-18,Rom. 13:11-14,Matt. 21:1-9,25,Rev. 3:20-22,John 18:33-37,Jer. 31:31-34,Luke 4:16-22,,,
Advent 1,ilcwa,Is. 2:1-5,Rom. 13:11-14,Mt. 24:37-44,50:1-15,,,,,90,96,
Advent 4,ilcwb,2 Sm. 7:1-11,Rom. 16:25-27,Lk. 1:26-28,98,,,,,110,108,
Advent 4,ilcwc,Mic. 5:2-4,Heb. 10:5-10,Lk. 1:39-55,96,,,,,110,47,
Advent 4,historic,Is. 40:1-8,Phil. 4:4-7,John 1:19-28,19,1 Jn 1:1-7,John 3:22-36,1 Pet. 1:10-13,John 5:31-39,,,
