"HYMN TITLE","Text","ELH#","TLH#","LW#","LBW#","CW#","HS'98#"
"Hail the Day that Sees Him Rise","Acts 1:9",388,213,,,175,
"Hail Thee Festival Day","Acts 1:9",398,,125,142,179,
"Hail Thee Festival Day","Acts 1:9",,,148,,,
"Hail Thee Festival Day","Acts 1:9-11",,,159,,,
"Hail Thou Once Despised Jesus","Rev 4:11",270,367,284,,351,
"Hail Thou Source of Every Blessing","Matt 2:11",,129,84,,87,
"Hail to the Lord's Anointed","Ps 72",103,59,82,87,93,
"Hallelujah Jesus Lives","John 20:15",,188,,147,,
"Hallelujah Let Praises Ring","Rev 19:1",,,437,,,
"Hark a Thrilling Voice is Sounding","Rom 13:11",96,60,18,37,15,
"Hark the Church Proclaims Her Honor","Eph 1:4",,461,,,530,
"Hark the Glad Sound The Savior Comes","Is 61:1, 2",109,66,29,35,12,
"Hark the Glad Sound The Savior Comes","Luke 4:18",109,66,29,35,12,
"Hark the Herald Angels Sing","Luke 2:14",125,94,49,60,61,
"Hark the Sound of Holy Voices","Rev 7:9, 10",,471,,,,
"Hark the Voice of Jesus Calling","Is 6:8",191,496,318,381,573,
"Hark the Voice of Jesus Crying","Is 6:8",191,496,318,381,573,
"Hark What Mean Those Holy Voices","Luke 2:14",,83,,,,
"Hark! Ten Thousand Harps and Voices","Heb 1:6",,221,,,,
"Have No Fear Little Flock","Luke 12:32",,,410,476,442,
"He is Arisen Glorious Word","Rom 4:25",348,189,520,138,162,
"He Leadeth Me O Blessed Thought",,,,,501,,
"He Stood Before the Court",,,,,,115,
"He that Believes and is Baptized","Mark 16:16",241,301,225,194,299,
"He Whom Shepherds Once Came Praising","Luke 2:7-20",,,54,68,,
"Hear Us Now Our God and Father",,188,,,288,603,
"Heavenly Father Hear Our Prayer",,,,,289,,
"Help Us O Lord Behold We Enter","Heb 13:8",,120,,,70,
"Help Us O Lord for Now We Enter","Heb 13:8",,120,,,70,
"Herald Sound the Note of Judgment",,,,,556,,
"Here in Thy Name Eternal God","2 Chron 6:20",,635,,,,
"Here is the Tenfold Sure Command","Ex 20:1-17",490,287,331,,285,
"Here O Lord I See You Face to Face","Matt 26:26-28",,,243,211,315,
"Here O My Lord I See You Face to Face","Matt 26:26-28",,,243,211,315,
"He's Risen He's Risen Christ Jesus the Lord","1 Cor 15:55",350,198,138,,143,
"His Battle Ended There",,,,,,146,
"Holy Father in Thy Mercy","Gen 31:49",576,643,469,,504,
"Holy Father in Your Mercy","Gen 31:49",576,643,469,,504,
"Holy Ghost Dispel Our Sadness",,20,,,,,
"Holy Ghost with Light Divine","1 Thess 5:23",402,234,166,,278,
"Holy God We Praise Thy Name","Luke 2:14",43,250,171,535,278,
"Holy God We Praise Your Name","Luke 2:14",43,250,171,535,195,
"Holy Holy Holy Lord God Almighty","Rev 4:8",15,246,168,165,,
"Holy Majesty Before You",,,,,247,,
"Holy Spirit Ever Dwelling","1 Cor 2:14-16",,,164,523,182,
"Holy Spirit God of Love","John 15:26",,230,,,180,
"Holy Spirit Hear Us","1 Cor 12:7-9",,229,,,,
"Holy Spirit Light Divine","1 Thess 5:23",,234,166,257,183,
"Holy Spirit Truth Divine","1 Thess 5:23",,234,166,257,183,
"Holy Spirit, Gift of God","1 Cor 12:3",,,,,,835
"Holy, holy, holy Lord, God",,,,,,,"p.11"
"Hope of the World Thou Christ of Great Compassion","Ps 146:5-10",,,377,493,,
"Hosanna Loud Hosanna","Matt 21:15",279,161,106,,130,
"Hosanna Now Through Advent","Mark 13:26-27",,,16,,,
"Hosanna to the Coming Lord","Matt 21:9",,70,,258,21,
"Hosanna to the Living Lord","Matt 21:9",,70,,258,21,
"How Beauteous Are Their Feet","Is 52:7",192,487,,,,
"How Blessed is the Little Flock",,585,,,,,
"How Blessed is this Place O Lord","Gen 28:16-18",,,327,186,,
"How Blest Are They",,,,,,607,
"How Blest Are They Who Hear God's Word","Is 61:3",586,48,222,227,325,
"How Can I Thank Thee Lord","Ps 50:14",423,417,385,,460,
"How Can I Thank You Lord","Ps 50:14",423,417,385,,460,
"How Clear Is Our Vocation, Lord","Luke 5:1-11",,,,,,879
"How Fair the Church of Christ Shall Stand",,418,,,,,
"How Firm a Foundation O Saints of the Lord","Is 43:1-7",521,427,411,507,416,
"How Firm a Foundation Ye Saints of the Lord","Is 43:1-7",521,427,411,507,416,
"How Good Lord to be Here","Matt 17:1-8",,135,89,89,95,
"How Great Thou Art","Ps 92:5",,,519,532,256,
"How Lovely Shines the Morning Star","Lam 3:22, 23",167,546,,,79,
"How Lovely Shines the Morning Star","Rev 22:16",167,343,,76,,
"How Marvelous God's Greatness",,,,,515,,
"How Precious Is the Book Divine","Ps 119:105",232,285,332,,284,
"How Rich at Eastertide",,349,,,,,
"How Shall the Young Secure Their Hearts ","Ps 119:9",176,286,474,,509,
"How Shall They Hear the Word of God","Romans 10:14-15",,,,,,868
"How Shall They Hear the Word of God",,,,,,575,
"How Sweet the Name of Jesus Sounds","Song Solomon 1:3",155,364,279,345,358,
"I Am Alone Your God and Lord",,488,,,,,
"I am Content My Jesus Ever Lives","John 11:25",,196,145,,158,
"I Am Content My Jesus Lives Again","John 11:25",,196,145,,158,
"I Am Content My Jesus Liveth Still","John 11:25",,196,145,,158,
"I Am Jesus' Little Lamb","John 21:15",177,648,517,,432,
"I Am So Glad Each Christmas Eve","Luke 2:4-7",127,,56,69,51,
"I am so Glad When Christmas Comes","Luke 2:4-7",127,,56,69,51,
"I Am Trusting Thee Lord Jesus","Acts 2:38",206,428,408,460,446,
"I Am Trusting You Lord Jesus","Acts 2:38",206,428,408,460,446,
"I Bind Unto Myself Today","Rom 6:4",,,172,188,,
"I Come O Savior to Thy Table","1 Cor 11:28",313,315,242,213,310,
"I Come O Savior to Your Table","1 Cor 11:28",313,315,242,213,310,
"I Come to Thee O Blessed Lord","John 6:37",495,330,,,,
"I do Not Come Because My Soul","Rom 7:19-25",,379,,,,
"I Fall Asleep in Jesus' Wounds","Luke 2:29",530,585,,,608,
"I Gave My Life for Thee","Phil 1:27",,405,,,454,
"I Hear the Savior Calling",,,,,,560,
"I Heard the Voice of Jesus Say","John 6:35",,277,348,497,338,
"I Know My Faith is Founded","2 Tim 1:12",494,381,354,,403,
"I Know of a Sleep in Jesus' Name","Rev 14:13",525,592,,342,211,
"I Know that My Redeemer",,373,,,,,
"I Know that My Redeemer Lives","Job 19:25-27",351,200,264,352,152,
"I Know Thee Savior God Thou Art",,307,,,,,
"I Lay My Sins on Jesus","John 1:29",239,652,366,305,372,
"I Leave All Things to God's Direction","Rom 8:28",,529,429,,414,
"I Love as You Have Promised Lord","Luke 2:29-32",48,137,185,349,269,
"I Love Thy Kingdom Lord","Ps 137",,462,296,368,533,
"I Love to Tell the Story",,,,,390,562,
"I Love Your Kingdom Lord","Ps 137",,462,296,368,533,
"I Pray Thee Dear Lord Jesus","1 John 3:23",178,655,476,,510,
"I Pray You Dear Lord Jesus","1 John 3:23",178,655,476,,510,
"I See Thee Standing Lamb of God",,70,,,,,
"I Sing the Birth Was Born Tonight",,130,,,,,
"I Stand Beside Thy Manger Here",,129,,,,,
"I Trust O Christ in You Alone","Rom 3:25",415,319,357,395,437,
"I Walk in Danger All the Way","1 Pet 5:8",252,413,391,,431,
"I Will Sing My Father's Praises","Eph 5:19,20",448,25,439,,253,
"I Will Sing My Maker's Praises","Eph 5:19,20",448,25,439,,253,
"I Would Not Live Alway I Ask Not to Stay","Job 7:16",,588,,,,
"If God Had Not Been on Our Side","Ps 124",396,267,,,202,
"If God Himself Be For Me","Rom 8:31-39",517,528,407,454,419,
"If Thou But Suffer God to Guide Thee","Ps 55:22",205,518,420,453,444,
"If Thy Beloved Son O God","Gal 2:16",374,375,,,393,
"If You but Trust in God to Guide You","Ps 55:22",205,518,420,453,444,
"If Your Beloved Son O God","Gal 2:16",374,375,,,393,
"I'm But a Stranger Here","Heb 4:9",474,660,515,,417,
"Immortal Invisible God Only Wise","1 Tim 1:17",,,451,526,240,
"In a Lowly Manger Born",,,,,417,,
"In Adam We Have All Been One","Rom 5:14",431,,292,372,396,
"In All Our Grief","Eph 4:25-32",,,,,,847
"In Christ There is No East or West",,,,,359,539,
"In God My Faithful God","Ps 7:1",467,526,421,,438,
"In Heaven Above In Heaven Above",,542,,,330,,
"In Heaven Is Joy and Gladness",,482,,,,,
"In His Temple Now Behold Him","Luke 2:22",,139,186,184,77,
"In Hope My Soul Redeemed to Bliss Unending","Rom 5:5",,432,,,,
"In House and Home Where Man and Wife","Ps 128",189,624,,,,
"In Jesus I Find My Rest and Peace",,437,,,,,
"In Jesus Name",,4,,,,,
"In Loud Exalted Strains","Gen 28:17",,638,,,,
"In One True God We All Believe","Apostle's Creed",,253,,,,
"In Peace and Joy I Now Depart","Luke 2:29-32",48,137,185,349,269,
"In Silent Pain the Eternal Son","Matt 10:34-39",,,,,,824
"In the Cross of Christ I Glory","Gal 6:14",523,354,101,104,345,
"In the Hour of Trial","Luke 22:31, 32",,516,511,106,116,
"In the Midst of Earthly Life","1 Sam 20:3",527,590,265,350,534,
"In the Name which Earth and Heaven","2 Chron 6:20",,632,,,,
"In the Quiet Consecration",,,,,223,,
"In the Resurrection","Job 19, 25-27",,603,,,,
"In the Very Midst of Life","1 Sam 20:3",527,590,265,350,534,
"In Thee Alone O Christ My Lord","Rom 3:25",415,319,357,395,437,
"In Thee is Gladness","1 Pet 1:6-9",149,,442,552,346,
"in Thee Lord have I Put My Trust","Ps 31:1-5",524,524,406,,448,
"In This Our Happy Christmastide",,150,,,,,
"In Trembling Hands Lord God We Hold",,,,,,199,
"In Vain Would Boasting Reason Find",,254,,,,,
"In You is Gladness","1 Pet 1:6-9",149,,442,552,346,
"In You Lord I have Put My Trust","Ps 31:1-5",524,524,406,,448,
"In You O Lord I Put My Trust","Ps 31:1-5",524,524,406,,448,
"Infant Holy Infant Lowly",,,,,44,,
"Infant Holy, Infant Lowly","Luke 2:1-20",,,,,,812
"Invited, Lord, by Boundless Grace","1 Cor 11:26",,308,,,,
"Isaiah in a Vision Did of Old","Is 6:1-4",40,249,214,528,267,
"Isaiah Mighty Seer in Days of Old","Is 6:1-4",40,249,214,528,267,
"Isaiah Mighty Seer in Spirit Soared","Is 6:1-4",40,249,214,528,267,
"It Came Upon the Midnight Clear","Luke 2:13-14",,,62,54,,
"It Happened on that Fateful Night","1 Cor 11: 23ff",,164,,127,136,
"It Is Not Death to Die","John 11:26",,602,,,,
"Jehovah, Let Me Now Adore Thee","John 16:23",,21,446,,189,
"Jehovah, Let Me Now Adore You","John 16:23",,21,446,,189,
"Jerusalem My Happy Home","Ps 42:2",539,618,307,331,215,
"Jerusalem the Golden","Rev 21:18",534,613,309,347,214,
"Jerusalem Thou City Fair and High","Matt 17:1-9",541,619,306,348,212,
"Jerusalem Whose Towers Touch the Skies","Matt 17:1-9",541,619,306,348,212,
"Jerusalm O City Fair and High","Matt 17:1-9",541,619,306,348,212,
"Jesus All Our Ransom Paid","John 19:30",,185,,,,
"Jesus All Thy Labor Vast","Luke 23:46",,186,,,,
"Jesus and Shall It Ever Be","Mark 8:38",471,346,,,347,
"Jesus Brightness of the Father","Ps 91:11",547,257,,,,
"Jesus Calls Us o'er the Tumult","John 1:40",,270,,494,463,
"Jesus Came the Heavens Adoring","Zech 9:9",89,56,,,26,
"Jesus Christ is Risen Today Alleluia!","Rev 1:18",352,199,127,151,157,
"Jesus Christ My Pride and Glory","Luke 2:41-52",,408,,,464,
"Jesus Christ My Sure Defense","1 Cor 15:35ff",532,206,266,340,167,
"Jesus Christ Our Blessed Savior","Heb 10:12",316,311,236,,313,
"Jesus Christ Our Blessed Savior","Heb 10:12",317,311,237,,,
"Jesus Christ Our Lord Most Holy","Matt 27:50-53",285,169,,,,
"Jesus Grant that Balm and Healing","1 Pet 2:24",293,144,95,,121,
"Jesus Has Come and Brings Pleasures Eternal","Luke 1:68-79",,,78,,,
"Jesus I Live to Thee","Rom 14:8",,591,,,,
"Jesus I My Cross have Taken","Luke 18:28",424,423,,,465,
"Jesus I Will Never Leave","Luke 9:57",362,365,,,,
"Jesus I Will Ponder Now","Luke 18:31-34",287,140,109,115,98,
"Jesus in Thy Dying Woes","Luke 23:34",,180,112,113,139,
"Jesus in Thy Thirst and Pain","John 19:28",,184,,,,
"Jesus in Your Dying Woes","Luke 23:34",,180,112,113,139,
"Jesus in Your Dying Woes","Luke 23:34",,180,112,113,139,
"Jesus Jesus Only Jesus","Eph 3:19",379,348,,,348,
"Jesus Lead Thou On","Luke 5:11",587,410,386,341,422,
"Jesus Lead Us On","Luke 5:11",587,410,386,341,422,
"Jesus Lives The Victory's Won","Rom 8:11",353,201,139,133,145,
"Jesus Lover of My Soul","Is 32:2",209,345,508,,357,
"Jesus Loves Me",,179,,,,,
"Jesus My Great High Priest","Heb 9:11, 12",289,220,,,359,
"Jesus My Truth My Way","John 14:6",,433,,,,
"Jesus Name of Wondrous Love","Luke 1:31",156,114,182,,76,
"Jesus O how Could It be True","Mark 8:38",,,393,,,
"Jesus on the Mountain Peak","Matt 17:1-8",,,,,,818
"Jesus Pitying the Sighs","Luke 23:43",,181,,,,
"Jesus Priceless Treasure","Matt 13:46",263,347,270,457,349,
"Jesus Priceless Treasure","Matt 13:46",264,347,270,458,349,
"Jesus Refuge of the Weary","Mark 15:29, 30",240,145,90,93,108,
"Jesus Sat With His Disciples","Matt 5:1-12",,,,,,912
"Jesus Savior Come to Me","Is 26:9",,356,,,,
"Jesus Savior Pilot Me","John 21:15",,649,513,334,433,
"Jesus Shall Reign Where'er the Sun","Ps 72",193,511,312,530,84,
"Jesus Shepherd in Your Arms","Matt 18:2",,595,269,,,
"Jesus Shepherd of the Sheep",,,,,,436,
"Jesus Sinners Does Receive","Luke 15:2",426,324,229,291,304,
"Jesus Sinners Doth Receive","Luke 15:2",426,324,229,291,304,
"Jesus Sinners Will Receive","Luke 15:2",426,324,229,291,304,
"Jesus Still Lead On","Luke 5:11",587,410,386,341,422,
"Jesus Sun of Righteousness",,84,,,,,
"Jesus Tender Shepherd Hear Me",,568,,,,,
"Jesus the Very Thought of Thee","Song Solomon 1:3",315,350,,316,,
"Jesus the Very Thought of You","Song Solomon 1:3",315,350,,316,,
"Jesus Thou Art Mine Forever","Ps 78:24",,357,,,,
"Jesus Thou Joy of Loving Hearts",,318,,,,,
"Jesus Thy Blood and Righteousness","1 John 1:7",432,371,362,302,376,
"Jesus Thy Boundless Love to Me","John 14:15",372,349,280,336,479,857
"Jesus Thy Church with Longing Eyes","Rev 1:7",,64,,,,
"Jesus Whelmed in Fears Unknown","Matt 27:46",,183,,,,
"Jesus Your Blood and Righteousness","1 John 1:7",432,371,362,302,376,
"Jesus Your Boundless Love so True","John 14:15",372,349,280,336,479,857
"Jesus Your Boundless Love to Me","John 14:15",372,349,280,336,479,857
"Jesus Your Church with Loving Eyes",,,,,,9,
"Jesus, Loving to the End","John 19:26-27",,182,,,,
"Jesus, Remember Me","Luke 23:42",,,,,,827
"Jesus, Remember Me","Luke 23:42",,,,,,827
"Jesus, Thy Boundless Love to Me","John 15:9-13",,,,,,857
"Join All the Glorious Names","Heb 9:11, 12",289,220,,,359,
"Joy to the World the Lord is Come","Luke 2:10",138,87,53,39,62,
"Joy to the World the Lord is Come","Ps 98",138,87,53,39,62,
"Joyful Joyful We Adore Thee",,,,,551,,
"Jubilate Deo","Ps 100",,666,,,,
"Judge Eternal Throned in Splendor","Ps 59:16",,576,,418,,
"Just as I am without One Plea","John 6:37",319,388,359,296,397,
"King of Glory King of Peace",,442,,,,,
"Kyrie","Mark 10:47",,,,,,913
"Kyrie God Father in Heaven Above","Ps 28:2",34,6,209,168,266,
"Lamb of God Pure and Holy","John 1:29",41,146,208,111,268,
"Lamb of God Pure and Sinless","John 1:29",41,146,208,111,268,
"Lamb Of God We Fall before Thee","Heb 12:2",,358,,,354,
"Lamb Of God We Fall before You","Heb 12:2",,358,,,354,
"Lamp of Our Feet Whereby We Trace","Ps 119:105",,291,,,,
"Lead On O King Eternal",,,,,495,,
"Let All Mortal Flesh Keep Silence","Matt 26:28",,,241,198,361,
"Let All the World In Every Corner Sing",,22,,,,,
"Let All Things Now Living",,,,,557,260,
"Let All Together Praise Our God","Luke 2:1-14",148,105,44,47,41,
"Let Children hear the Mighty Deeds","Ps 78",180,629,472,,512,
"Let Me Be Thine Forever","Rom 6:16",427,334,257,490,596,
"Let Me Be Yours Forever","Rom 6:16",427,334,257,490,596,
"Let Our Gladness Have No End","Rom 8:32-33",,,69,57,,
"Let Songs of Praises Fill the Sky","Rom 5:5",,232,,,,
"Let the Earth Now Praise the Lord","Luke 24:27",165,91,33,,28,
"Let the Whole Creation Cry",,,,,242,,
"Let Thoughtless Thousands Choose the Road","Phil 1:21",,608,,,466,
"Let Us All with Gladsome Voice","2 Cor 8:9",134,97,42,,64,
"Let Us Break Bread Together on Our Knees",,,,,212,,
"Let Us Ever Walk with Jesus ","John 11:16",236,409,381,487,452,
"Let Us With a Gladsome Mind",,,,,521,,
"Levavi Oculos","Ps 121",,665,,,,
"Lift Every Voice and Sing",,,,,562,,
"Lift High the Cross the Love of Christ Proclaim","Heb 13:12-15",194,,311,377,579,
"Lift Up Your Heads Ye Mighty Gates","Ps 24","91 & 92",73,23,32,"3 & 4",
"Lift Up Your Heads You Mighty Gates","Ps 24","91 & 92",73,24,32,"3 & 4",
"Lift Up Your Heads, O Gates","Ps 24:7-10",,,,,,804
"Light of the Minds that Know Him",,425,,,,,
"Like the Golden Sun Ascending","Acts 2:32",354,207,,,147,
"Listen, God Is Calling","Mark 16:15",,,,,,872
"Lo God to Heaven Ascendeth","Ps 47:5-7",391,214,,,,
"Lo He Comes with Clouds Descending","Rev 1:7",98,,15,27,29,802
"Lo How a Rose e're Blooming","Is 11:1-2",121,645,67,58,47,
"Lo How a Rose is Growing","Is 11:1-2",121,645,67,58,47,
"Lo Judah's Lion Wins the Strife","Rev 5:5",,211,146,,,
"Lo Many Shall Come from the East and the West","Matt 8:11, 12",200,415,464,313,,
"Lo!  He Comes with Clouds Descending","Rev 1:7",,,15,,,802
"Long Before the World Is Waking","John 21:1-17",,,,,,832
"Look from Thy Sphere of Endless Day","Is 35",,499,,402,,
"Look from Your Sphere of Endless Day","Is 35",,499,,402,,
"Look Now He Stands Stones Could Not Hold Him Down",,,,,152,,
"Look O Look the Sight is Glorious",,390,,,156,,
"Look Oh Look the Sight is Glorious",,390,,,156,,
"Look Toward the Mountain of the Lord","Ex 19:16",,,310,,,
"Look Toward the Mountain of the Lord","Heb 12:18-24",,,310,,,
"Look Ye Saints the Sight Is Glorious","Phil 2:9-11",,222,,,,
"Lord as a Pilgrim Through Life I Go",,,,,485,,
"Lord as Thou Wilt Deal Thou with Me","Ps 40:8",219,406,,,,
"Lord Christ When You First Came to Earth",,,,,421,,
"Lord Dismiss Us with Thy Blessing","Num 6:24-26",588,50,218,259,329,
"Lord Dismiss Us with Your Blessing","Num 6:24-26",588,50,218,259,329,
"Lord Enthroned in Heavenly Splendor","Rev 5:11-14",,,281,172,352,
"Lord God the Holy Ghost",,,,,162,,
"Lord God to You We All Give Praise","Heb 1:14",545,254,189,,196,
"Lord God We All to Thee Give Praise","Heb 1:14",545,254,189,,196,
"Lord God Who Art My Father Dear",,386,,,,,
"Lord Hear the Voice of My Complaint",,255,,,,,
"Lord Help Us ever to Retain","Ex 20:1-17",551,288,477,,514,
"Lord Help Us ever to Retain","Ps 119:9-12",551,288,477,,514,
"Lord It Belongs Not to My Care","Phil 1:21",,527,,,,
"Lord Jesus Christ Be Present Now","Ps 95:2",23,3,201,253,230,
"Lord Jesus Christ Life Giving Bread","John 6:48",322,312,248,,,
"Lord Jesus Christ My Life My Light","Luke 23:33",291,148,,,,
"Lord Jesus Christ My Savior Blest","Ps 119:170",258,353,,,362,
"Lord Jesus Christ the Children's Friend","Ps 78:1-8",,,470,,513,
"Lord Jesus Christ the Church's Head","Col 2:10",212,477,293,,536,
"Lord Jesus Christ Thou hast Prepared","1 Cor 11:26",,306,246,208,312,
"Lord Jesus Christ Thou Living Bread","John 6:48",322,312,248,,,
"Lord Jesus Christ True Man and God",,238,,,,,
"Lord Jesus Christ We Humbly Pray","1 Cor 10:17",311,314,250,225,,
"Lord Jesus Christ Will You not Stay","Luke 24:29",511,292,344,,541,
"Lord Jesus Christ with Us Abide","Luke 24:29",511,292,344,,541,
"Lord Jesus Christ You Have Bestowed",,320,,,,,
"Lord Jesus Christ You Have Prepared","1 Cor 11:26",,306,246,208,312,
"Lord Jesus Christ You Set Us Free","Heb 13:15",,173,,,123,
"Lord Jesus Think on Me ","Ps 119:133",496,320,231,309,,
"Lord Jesus Thou art Going Forth","John 19:16-17",,150,,,,
"Lord Jesus Thou the Church's Head","Col 2:10",212,477,293,,536,
"Lord Jesus Though but Two or Three",,5,,,,,
"Lord Jesus We Give Thanks to Thee","Heb 13:15",,173,,,123,
"Lord Jesus Who art Come","1 Cor 4:1",503,485,,,,
"Lord Jesus You are Going Forth",,,,,,126,
"Lord Jesus You Have Come",,,,,,546,
"Lord Keep Us Steadfast in Thy Word","John 8:31",589,261,334,230,203,
"Lord Keep Us Steadfast in Your Word","John 8:31",589,261,334,230,203,
"Lord Lead the Way the Savior Went","Matt 25:40",,440,,,,
"Lord of All Good","Rom 12:1",,,,,,884
"Lord of All Good Our Gifts We Bring You Now",,,,,411,483,
"Lord of All Hopefulness Lord of All Joy","Ps 55:16-17",59,,,469,,886
"Lord of All Nations Grant Me Grace",,,,,419,521,
"Lord of Glory Who hast Bought Us","Acts 20:35",459,442,402,424,486,
"Lord of Glory You have Bought Us","Acts 20:35",459,442,402,424,486,
"Lord of Light Your Name Outstanding",,,,,405,,
"Lord of Lords the Sparkling Heavens",,,,,,237,
"Lord of My Life Whose Tender Care","Ps 95:6",,24,,,232,
"Lord of Our Growing Years",,,,,,507,
"Lord of Our Life and God of Our Salvation","Ps 79:9",439,258,301,366,,
"Lord of the Church We Humbly Pray","Is 6:7",502,489,261,,,
"Lord of the Harvest Hear","Matt 9:38",,488,,,,
"Lord of the Home",,,,,,502,
"Lord of the Living Harvest","Luke 10:2",,492,260,,559,
"Lord of the Worlds Above","Ps 84",,480,,,,
"Lord Open Now My Heart to Hear","Ps 119:140",24,5,197,,282,
"Lord Open Thou My Heart to Hear","Ps 119:140",24,5,197,,282,
"Lord Our God With Praise We Come Before You",,,,,244,,
"Lord Receive this Company",,,,,255,,
"Lord Save Your World in Bitter Need",,,,,420,,
"Lord Speak to Us That We May Speak",,,,,403,561,
"Lord Take My Hand and Lead Me","Ps 5:8",210,,512,333,439,
"Lord Teach Us How to Pray Aright",,382,,,438,412,
"Lord Thee I Love with All My Heart","Ps 18",406,429,413,325,434,
"Lord Tis Not that I did Choose Thee","John 15:16",222,37,,,380,
"Lord Tis Not that I did Choose You","John 15:16",222,37,,,380,
"Lord to Thee I Make Confession","Ps 139:7-10",450,326,233,,302,
"Lord to You I Make Confession","Ps 139:7-10",450,326,233,,302,
"Lord to You Immortal Praise","Hab 3:17, 18",,572,496,,612,
"Lord We Come before Thee Now","Ps 27:8",,18,,,,
"Lord We Confess Our Numerous Faults","Titus 3:3, 7",,382,,,398,
"Lord When We Bend before Thy Throne","Ps 32:1",,22,,,,
"Lord When You Came as Welcome Guest","John 2:1-11",,620,252,,,
"Lord When Your Glory I Shall See",,,,,,219,
"Lord While for All Mankind We Pray","Rom 13:1-7",,578,502,,,
"Lord While for Humankind We Pray","Rom 13:1-7",,578,502,,,
"Lord Who at Cana's Wedding-Feast","John 2:1-11",,620,252,,,
"Lord Who the Night You Were Betrayed Did Pray",,,,,206,,
"Lord Whose Love in Humble Service","Rom 12:1",,,,423,,882
"Lord With Glowing Heart I'd Praise Thee",,,,,243,,
"Lord You I Love with All My Heart","Ps 18",406,429,413,325,434,
"Lord You Love the Cheerful Giver",,,,,,489,
"Lord, Bid Your Servant Go in Peace","Luke 2:29-32",,,,,,911
"Lord, Bid Your Servant Go in Peace","Luke 2:29-32",,,,,,911
"Lord, Have Mercy on Us",,,,,,,"p.7"
"Lord, Whose Love through Humble Service","Rom 12:1",,,,,,882
"Lost in the Night Do the People Yet Languish",,,,,394,,
"Love Consecrates the Humblest Act",,,,,122,,
"Love Divine All Love Excelling","Ps 106:4",407,351,286,315,365,
"Love in Christ is Strong and Living","John 14:23",,,376,,490,
"Love is the Gracious Gift",,,,,,505,
"Magnificat","Luke 1:46",,,,,,803
"Make Songs of Joy to Christ Our Head","1 Cor 15:55-57",,,132,150,,
"Maker of the Earth and Heaven",,,,,266,,
"Master of Eager Youth",,183,,,,,
"May God Bestow on Us His Grace","Ps 67",591,500,288,335,574,
"May God Embrace Us with His Grace","Ps 67",591,500,288,335,574,
"May God the Father of Our Lord","1 Pet 5:10",,,254,,597,
"May the Grace of Christ Our Savior",,,,,,326,
"May the Mind of Christ My Savior",,,,,,467,
"May We Thy Precepts Lord Fulfill","Matt 6:10",,412,389,353,458,
"May We Your Precepts Lord Fulfill","Matt 6:10",,412,389,353,458,
"Morning Breaks upon the Tomb","Luke 24:3",,203,,,159,
"Most Ancient of All Mysteries",,419,,,,,
"My Country Tis of Thee",,,,,566,,
"My Course is Run, Praise God, My Course is Run","2 Tim 4:7",528,599,,,,
"My Faith Looks Trustingly","Eph 3:12",184,394,378,479,402,
"My Faith Looks Up to Thee","Eph 3:12",184,394,378,479,402,
"My God Accept My Heart This Day ","Ps 119:10",512,336,,,,
"My God and Is Thy Table Spread",,323,,,,,
"My God How Wonderful Thou Art",,,,,524,,
"My God My Father Make Me Strong","Ps 143:8",,424,,,468,
"My God My Father While I Stray","Matt 26:42",,418,,,,
"My God Will Never Leave Me","Josh 24:16",465,393,409,468,418,
"My Heart is Longing to Praise My Savior",,61,,,326,364,
"My Hope is Built on Nothing Less","1 Tim 1:1",197,370,368,293,382,
"My Hope is Built on Nothing Less","1 Tim 1:1",,370,368,294,,
"My Inmost Heart Now Raises","Ps 118:1",79,548,,,,
"My Jesus as Thou Wilt","Mark 14:36",,420,,,,
"My Maker Be Thou Nigh","Ps 119:8",513,335,255,,598,
"My Maker Be With Me","Ps 119:8",513,335,255,,598,
"My Maker Now be Nigh","Ps 119:8",513,335,255,,598,
"My Savior Sinners Doth Receive","Luke 15:2",,386,,,,
"My Shepherd Will Supply My Need",,,,,,374,
"My Song is Love Unknown","Is 53",303,,91,94,110,
"My Soul Be on Thy Guard","1 Thess 5:6",,449,,,,
"My Soul doth Magnify the Lord","Luke 1:47-55",47,275,211,180,274,
"My Soul Now Bless Thy Maker","Ps 103",456,34,453,519,257,
"My Soul Now Bless Your Maker","Ps 103",456,34,453,519,257,
"My Soul now Magnifies the Lord","Luke 1:47-55",47,275,211,180,274,
"My Soul now Praise Your Maker","Ps 103",456,34,453,519,257,
"My Soul Rejoices",,,,,,,"p.19"
"My Soul's Best Friend What Joy and Blessing","Song Solomon 5:16",,362,,,,
"My Spirit on Thy Care","Ps 31",,435,,,,
"Nature with Open Volume Stands",,199,,,119,,
"Near the Cross Was Mary Weeping",,294,,,,,
"Nearer My God to Thee","Gen 28:10-19",,533,514,,,
"New Songs of Celebration Render","Ps 98:1",,,,,,897
"No Temple Now, No Gift of Price","Heb 9:11-28",,,,,,861
"No Tramp of Soldiers' Marching Feet","Luke 19:37-38",,,,,,826
"Not All the Blood of Beasts","Heb 10:4",305,156,99,,128,
"Not Alone for Mighty Empire",,,,,143,,
"Not for Tongues of Heaven's Angels",,,,,,495,
"Not in Anger Mighty God",,454,,,,423,
"Not Unto Us","Ps 115:1",,,,,,874
"Not Unto Us",,,,,,392,
"Not What These Hands have Done","Eph 2:8, 9",433,389,,,,
"Now All the Vault of Heaven Resounds","Rev 7:11-12",,,131,143,,
